Title,Author,Downloads
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,171909
"Moby Dick; Or, The Whale",Herman Melville,124310
Romeo and Juliet,William Shakespeare,85089
Pride and Prejudice,Jane Austen,78530
Alice's Adventures in Wonderland,Lewis Carroll,68581
The Complete Works of William Shakespeare,William Shakespeare,61140
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,59531
A Room with a View,E. M. Forster,58110
Middlemarch,George Eliot,56462
Beowulf: An Anglo-Saxon Epic Poem,Unknown,56275
"Little Women; Or, Meg, Jo, Beth, and Amy",Louisa May Alcott,52942
The Scarlet Letter,Nathaniel Hawthorne,50162
The Blue Castle: a novel,L. M. Montgomery,47776
Dracula,Bram Stoker,47007
The Enchanted April,Elizabeth Von Arnim,45212
Cranford,Elizabeth Cleghorn Gaskell,42167
The Adventures of Ferdinand Count Fathom — Complete,T. Smollett,42155
Jane Eyre: An Autobiography,Charlotte Brontë,42069
Twenty years after,Alexandre Dumas and Auguste Maquet,41865
The Expedition of Humphry Clinker,T. Smollett,41608
My Life — Volume 1,Richard Wagner,41098
"History of Tom Jones, a Foundling",Henry Fielding,41035
The Adventures of Roderick Random,T. Smollett,40667
The Legend of Sleepy Hollow,Washington Irving,38845
Crime and Punishment,Fyodor Dostoyevsky,38467
The Picture of Dorian Gray,Oscar Wilde,37334
A Modest Proposal,Jonathan Swift,37012
Leviathan,Thomas Hobbes,36601
A Tale of Two Cities,Charles Dickens,33948
Adventures of Huckleberry Finn,Mark Twain,33163
"Fables of La Fontaine — a New Edition, with Notes",Jean de La Fontaine,32592
How to Live on 24 Hours a Day,Arnold Bennett,32401
The Great Gatsby,F. Scott Fitzgerald,32219
A Doll's House : a play,Henrik Ibsen,32175
Bleak House,Charles Dickens,32071
The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,31822
The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,31060
The Prince,Niccolò Machiavelli,30483
The Yellow Wallpaper,Charlotte Perkins Gilman,30331
The Adventures of Sherlock Holmes,Arthur Conan Doyle,30105
Second Treatise of Government,John Locke,29179
Wuthering Heights,Emily Brontë,28982
Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,27722
Metamorphosis,Franz Kafka,27554
The Souls of Black Folk,W. E. B. Du Bois,27506
"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,27088
War and Peace,graf Leo Tolstoy,26293
Simple Sabotage Field Manual,United States. Office of Strategic Services,26159
Great Expectations,Charles Dickens,26128
The Iliad,Homer,25946
Anne of Green Gables,L. M. Montgomery,25491
"The Adventures of Tom Sawyer, Complete",Mark Twain,25283
The Brothers Karamazov,Fyodor Dostoyevsky,25238
Thus Spake Zarathustra: A Book for All and None,Friedrich Wilhelm Nietzsche,25072
The Confessions of St. Augustine,Bishop of Hippo Saint Augustine,25022
The Count of Monte Cristo,Alexandre Dumas and Auguste Maquet,24563
A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,23993
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,22475
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,22042
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African",Olaudah Equiano,21425
The Republic,Plato,21042
White Nights and Other Stories,Fyodor Dostoyevsky,20780
On Liberty,John Stuart Mill,20386
Ulysses,James Joyce,20312
The divine comedy,Dante Alighieri,19380
Don Quijote (Spanish),Miguel de Cervantes Saavedra,19353
Beyond Good and Evil,Friedrich Wilhelm Nietzsche,19069
Rip Van Winkle,Washington Irving,18609
The Wonderful Wizard of Oz,L. Frank Baum,18592
The Tragical History of Doctor Faustus,Christopher Marlowe,18006
"The lesser Key of Solomon, Goetia, the book of evil spirits :  contains two hundred diagrams and seals for invocation and convocation of spirits, necromancy, witchcraft and black art",Unknown,17891
Treasure Island,Robert Louis Stevenson,17706
Du côté de chez Swann (French),Marcel Proust,17510
The Odyssey,Homer,17422
Heart of Darkness,Joseph Conrad,17379
The King James Version of the Bible,Unknown,16997
Oliver Twist,Charles Dickens,16798
Autobiography of Benjamin Franklin,Benjamin Franklin,16626
"Poems on various subjects, religious and moral",Phillis Wheatley,16225
Gulliver's Travels into Several Remote Nations of the World,Jonathan Swift,16194
Peter Pan :  [Peter and Wendy],J. M. Barrie,16103
Carmilla,Joseph Sheridan Le Fanu,16002
"Don't Marry; or, Advice on How, When and Who to Marry",James W. Donovan,15843
Le Morte d'Arthur: Volume 1,Sir Thomas Malory,15812
The Hound of the Baskervilles,Arthur Conan Doyle,15769
Meditations,Emperor of Rome Marcus Aurelius,15744
Democracy in America — Volume 1,Alexis de Tocqueville,15696
"Golden Days for Boys and Girls, Vol. XII, Jan. 3, 1891",Various,15485
The Kama Sutra of Vatsyayana,Vatsyayana,15465
Les Misérables,Victor Hugo,15317
Dubliners,James Joyce,15229
The Ethics of Aristotle,Aristotle,15205
An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,14635
Anna Karenina,graf Leo Tolstoy,14558
The Romance of Lust: A classic Victorian erotic novel,Anonymous,14257
Sense and Sensibility,Jane Austen,14210
The War of the Worlds,H. G. Wells,14032
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,13935
Through the Looking-Glass,Lewis Carroll,13735
Don Quixote,Miguel de Cervantes Saavedra,13619
Symposium,Plato,13526
The History of the Peloponnesian War,Thucydides,13425
The Reign of Greed,José Rizal,13271
Calculus Made Easy,Silvanus P. Thompson,13181
The Critique of Pure Reason,Immanuel Kant,12883
A Portrait of the Artist as a Young Man,James Joyce,12848
Little Women,Louisa May Alcott,12627
Common Sense,Thomas Paine,12563
How the Other Half Lives: Studies Among the Tenements of New York,Jacob A. Riis,12522
The Life and Adventures of Robinson Crusoe,Daniel Defoe,12516
On the Origin of Species By Means of Natural Selection,Charles Darwin,12419
Der Struwwelpeter (German),Heinrich Hoffmann,12347
A Study in Scarlet,Arthur Conan Doyle,12342
David Copperfield,Charles Dickens,12287
Emma,Jane Austen,12263
How to Observe: Morals and Manners,Harriet Martineau,11973
Notes from the Underground,Fyodor Dostoyevsky,11864
Faust [part 1]. Translated Into English in the Original Metres,Johann Wolfgang von Goethe,11805
Moby Multiple Language Lists of Common Words,Grady Ward,11796
"An Essay Concerning Humane Understanding, Volume 1",John Locke,11781
Oedipus King of Thebes,Sophocles,11759
Noli Me Tangere (Tagalog),José Rizal,11590
Hamlet,William Shakespeare,11566
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Mary White Rowlandson,11441
The Jungle Book,Rudyard Kipling,11377
The King in Yellow,Robert W. Chambers,11339
"The Metamorphoses of Ovid, Books I-VII",Ovid,11253
"Spenser's The Faerie Queene, Book I",Edmund Spenser,11220
Tess of the d'Urbervilles: A Pure Woman,Thomas Hardy,11131
Paradise Lost,John Milton,11061
Ethics,Benedictus de Spinoza,10880
The Time Machine,H. G. Wells,10866
The Problems of Philosophy,Bertrand Russell,10728
Spoon River Anthology,Edgar Lee Masters,10728
Candide,Voltaire,10697
Novo dicionário da língua portuguesa (Portuguese),Cândido de Figueiredo,10664
The Sorrows of Young Werther,Johann Wolfgang von Goethe,10658
Antiquities of the Jews,Flavius Josephus,10635
Winnie-the-Pooh,A. A. Milne,10616
Essays of Michel de Montaigne — Complete,Michel de Montaigne,10581
"The Rámáyan of Válmíki, translated into English verse",Valmiki,10450
On War,Carl von Clausewitz,10378
The Philippines a Century Hence,José Rizal,10242
Lysistrata,Aristophanes,10231
"Incidents in the Life of a Slave Girl, Written by Herself",Harriet A. Jacobs,10209
The Jungle,Upton Sinclair,10208
"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1",Unknown,10194
The Secret Garden,Frances Hodgson Burnett,10119
Plays,Susan Glaspell,10113
The Art of War,active 6th century B.C. Sunzi,10112
The Genealogy of Morals,Friedrich Wilhelm Nietzsche,10102
Pascal's Pensées,Blaise Pascal,10052
Les misérables Tome I: Fantine (French),Victor Hugo,9961
"The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 1 (of 2)",Bernal Díaz del Castillo,9819
Essays by Ralph Waldo Emerson,Ralph Waldo Emerson,9791
A Selection from the Works of Frederick Locker,Frederick Locker-Lampson,9771
Complete Original Short Stories of Guy De Maupassant,Guy de Maupassant,9745
Persuasion,Jane Austen,9682
Hard Times,Charles Dickens,9656
The Turn of the Screw,Henry James,9652
Project Gutenberg Compilation of Short Stories by Chekhov,Anton Pavlovich Chekhov,9640
The Travels of Marco Polo — Volume 1,Marco Polo and da Pisa Rusticiano,9625
Pygmalion,Bernard Shaw,9611
Madame Bovary,Gustave Flaubert,9607
Tractatus Logico-Philosophicus (German),Ludwig Wittgenstein,9556
The History of Herodotus — Volume 1,Herodotus,9491
The Communist Manifesto,Karl Marx and Friedrich Engels,9440
Nature,Ralph Waldo Emerson,9407
Twenty Thousand Leagues under the Sea,Jules Verne,9195
隨園詩話 (Chinese),Mei Yuan,9172
The History of the Decline and Fall of the Roman Empire,Edward Gibbon,9154
Songs of Innocence and of Experience,William Blake,9149
The Prophet,Kahlil Gibran,9050
De Profundis,Oscar Wilde,8969
Struwwelpeter: Merry Stories and Funny Pictures,Heinrich Hoffmann,8939
"Bartleby, the Scrivener: A Story of Wall-Street",Herman Melville,8774
"Society in America, Volume 1 (of 2)",Harriet Martineau,8681
"The Ladies' Book of Etiquette, and Manual of Politeness",Florence Hartley,8669
The Red Record,Ida B. Wells-Barnett,8656
Uncle Tom's Cabin,Harriet Beecher Stowe,8560
Aesop's Fables; a new translation,Aesop,8548
Around the World in Eighty Days,Jules Verne,8541
The Jewish State,Theodor Herzl,8474
Don Juan,Baron George Gordon Byron Byron,8454
Life on the Mississippi,Mark Twain,8318
Phaedrus,Plato,8310
Latin Phrase-Book (Latin),Carl Meissner,8298
A Journey to the Centre of the Earth,Jules Verne,8279
The call of the wild,Jack London,8271
Three men in a boat (to say nothing of the dog),Jerome K. Jerome,8231
Chambers's Twentieth Century Dictionary (part 1 of 4: A-D),Unknown,8222
"Poems by Emily Dickinson, Three Series, Complete",Emily Dickinson,8191
Childe Harold's Pilgrimage,Baron George Gordon Byron Byron,8162
The Elements of Style,William Strunk,8149
Hedda Gabler,Henrik Ibsen,8140
Myths and Legends of Ancient Greece and Rome,E. M. Berens,8123
Josefine Mutzenbacher (German),Felix Salten,8094
The Vampyre; a Tale,John William Polidori,8065
Northanger Abbey,Jane Austen,8063
"The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist",Friedrich Wilhelm Nietzsche,8045
The Gift of the Magi,O. Henry,8039
Memoirs of Fanny Hill,John Cleland,7975
The Pickwick Papers,Charles Dickens,7960
"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,7922
Vanity Fair,William Makepeace Thackeray,7880
Cookery and Dining in Imperial Rome,Apicius,7844
The Prince and the Pauper,Mark Twain,7836
"Napoleon's Letters to Josephine, 1796-1812",Emperor of the French Napoleon I,7831
"The Awakening, and Selected Short Stories",Kate Chopin,7828
The Devil's Dictionary,Ambrose Bierce,7774
The Lady of the Lake,Walter Scott,7755
The Ten Books on Architecture,Vitruvius Pollio,7730
The Federalist Papers,"Alexander Hamilton, James Madison, and John Jay",7719
The Elementary Forms of the Religious Life,Émile Durkheim,7703
The Works of Edgar Allan Poe — Volume 1,Edgar Allan Poe,7673
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,René Descartes,7589
"The Happy Prince, and Other Tales",Oscar Wilde,7504
"Les mille et une nuits, tome premier (French)",Unknown,7500
The Sign of the Four,Arthur Conan Doyle,7442
Anthem,Ayn Rand,7388
"Right Ho, Jeeves",P. G. Wodehouse,7375
"The Lives of the Twelve Caesars, Complete",Suetonius,7358
A Complete Dictionary of Synonyms and Antonyms,Samuel Fallows,7308
Mosses from an old manse,Nathaniel Hawthorne,7303
The Invisible Man: A Grotesque Romance,H. G. Wells,7285
The three musketeers,Alexandre Dumas and Auguste Maquet,7264
The murder of Roger Ackroyd,Agatha Christie,7250
"The City of God, Volume I",Bishop of Hippo Saint Augustine,7228
The Decameron of Giovanni Boccaccio,Giovanni Boccaccio,7131
"The Rape of the Lock, and Other Poems",Alexander Pope,7114
An Enquiry Concerning Human Understanding,David Hume,7097
The Marriage of Heaven and Hell,William Blake,7075
"The Will to Believe, and Other Essays in Popular Philosophy",William James,7065
The Egyptian Book of the dead,Unknown,7055
"Friday, the Thirteenth: A Novel",Thomas William Lawson,7042
Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,Jules Verne,7031
Anabasis,Xenophon,7006
"The Thousand and One Nights, Vol. I.",Unknown,7002
"The Birth of Tragedy; or, Hellenism and Pessimism",Friedrich Wilhelm Nietzsche,7001
A Christmas Carol,Charles Dickens,6994
Roget's Thesaurus of English Words and Phrases,Peter Mark Roget,6969
The Idiot,Fyodor Dostoyevsky,6967
The Consolation of Philosophy,Boethius,6950
Perpetual Peace: A Philosophical Essay,Immanuel Kant,6950
池北偶談 (Chinese),Shizhen Wang,6948
Phaedo,Plato,6921
Leaves of Grass,Walt Whitman,6918
The Fall of the House of Usher,Edgar Allan Poe,6911
The Poetics of Aristotle,Aristotle,6905
The First Book of Adam and Eve,Rutherford Hayes Platt,6889
"The Anabasis of Alexander :  or, The history of the wars and conquests of Alexander the Great",Arrian,6866
"Chaucer's Works, Volume 4 — The Canterbury Tales (Middle English (1100-1500))",Geoffrey Chaucer,6862
The Iliad,Homer,6748
The Lady with the Dog and Other Stories,Anton Pavlovich Chekhov,6708
The Philosophy of Auguste Comte,Lucien Lévy-Bruhl,6689
The English Constitution,Walter Bagehot,6680
Rizal's own story of his life,José Rizal,6660
孽海花 (Chinese),Pu Zeng,6657
"The History of Don Quixote, Volume 1, Complete",Miguel de Cervantes Saavedra,6647
"Studies in the Psychology of Sex, Volume 1",Havelock Ellis,6613
The Castle of Otranto,Horace Walpole,6600
"The Philippine Islands, 1493-1898, Volume 33, 1519-1522",Antonio Pigafetta,6593
Three Ghost Stories,Charles Dickens,6568
灵历集光 (Chinese),Shangjie Song,6567
Apology,Plato,6564
The Republic of Plato,Plato,6545
Southern Horrors: Lynch Law in All Its Phases,Ida B. Wells-Barnett,6539
Fifteen Thousand Useful Phrases,Grenville Kleiser,6509
The Sea-Gull,Anton Pavlovich Chekhov,6499
White Fang,Jack London,6447
Hamlet,William Shakespeare,6420
Just so stories,Rudyard Kipling,6401
"The Junior Classics, Volume 1: Fairy and wonder tales",William Allan Neilson,6399
The Tale of Peter Rabbit,Beatrix Potter,6378
The island of Doctor Moreau,H. G. Wells,6366
"The Wars of the Jews; Or, The History of the Destruction of Jerusalem",Flavius Josephus,6327
2 B R 0 2 B,Kurt Vonnegut,6309
The Phantom of the Opera,Gaston Leroux,6284
The Return of Sherlock Holmes,Arthur Conan Doyle,6283
中國小說史略 (Chinese),Xun Lu,6275
Psyche: The Cult of Souls and Belief in Immortality among the Greeks,Erwin Rohde,6256
Macbeth,William Shakespeare,6252
Jerome Cardan: A Biographical Study,W. G. Waters,6245
"The Principles of Psychology, Volume 1 (of 2)",William James,6242
"The Garden Party, and Other Stories",Katherine Mansfield,6237
The Innocents Abroad,Mark Twain,6204
The Germany and the Agricola of Tacitus,Cornelius Tacitus,6140
Ecce Homo,Friedrich Wilhelm Nietzsche,6130
The Social Cancer: A Complete English Version of Noli Me Tangere,José Rizal,6127
Cyrano de Bergerac,Edmond Rostand,6106
The Book of Nonsense,Edward Lear,6088
More Letters of Charles Darwin — Volume 1,Charles Darwin,6065
The Diary of Samuel Pepys — Complete,Samuel Pepys,6023
On the Duty of Civil Disobedience,Henry David Thoreau,6007
"The Doré Bible Gallery, Complete",Unknown,5975
Biographia Literaria,Samuel Taylor Coleridge,5973
A Dictionary of Cebuano Visayan,John U. Wolff,5969
"Personal Memoirs of U. S. Grant, Complete",Ulysses S. Grant,5949
A Midsummer Night's Dream,William Shakespeare,5921
"The art of money getting :  or, golden rules for making money",P. T. Barnum,5920
Die Verwandlung (German),Franz Kafka,5915
The Railway Children,E. Nesbit,5911
A Connecticut Yankee in King Arthur's Court,Mark Twain,5878
The Tempest,William Shakespeare,5866
The Enchiridion,Epictetus,5866
Philippine Folk Tales,Unknown,5860
Mansfield Park,Jane Austen,5840
"The Song Celestial; Or, Bhagavad-Gîtâ (from the Mahâbhârata)",Unknown,5828
"The History of Rome, Books 01 to 08",Livy,5816
Siddhartha,Hermann Hesse,5806
Democracy in America — Volume 2,Alexis de Tocqueville,5800
施公案 (Chinese),Anonymous,5787
"St. John's College, Cambridge",Robert Forsyth Scott,5776
An Occurrence at Owl Creek Bridge,Ambrose Bierce,5764
The Last of the Mohicans; A narrative of 1757,James Fenimore Cooper,5754
Ethan Frome,Edith Wharton,5750
The Secret Garden,Frances Hodgson Burnett,5746
The Antichrist,Friedrich Wilhelm Nietzsche,5745
"The Jargon File, Version 4.2.2, 20 Aug 2000",Unknown,5703
A Pickle for the Knowing Ones,Timothy Dexter,5676
The Monkey's Paw,W. W. Jacobs,5659
Nicholas Nickleby,Charles Dickens,5626
Up from Slavery: An Autobiography,Booker T. Washington,5623
Fairy Tales of Hans Christian Andersen,H. C. Andersen,5566
Bede's Ecclesiastical History of England,Saint the Venerable Bede,5561
"The Influence of Sea Power Upon History, 1660-1783",A. T. Mahan,5531
Our Mutual Friend,Charles Dickens,5523
As a man thinketh,James Allen,5507
Myths of the Cherokee,James Mooney,5503
The Lives of the Poets of Great Britain and Ireland (1753) Volume II.,Theophilus Cibber,5485
The eleventh hour in the life of Julia Ward Howe,Maud Howe Elliott,5483
We,Evgenii Ivanovich Zamiatin,5473
The Mysterious Affair at Styles,Agatha Christie,5471
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,5466
Twelve Years a Slave,Solomon Northup,5458
"The Story of Beowulf, Translated from Anglo-Saxon into Modern English Prose",Unknown,5455
"Doctrina Christiana (Spanish) (Tagalog)",Unknown,5453
Paradise Lost,John Milton,5451
Darkwater: Voices from Within the Veil,W. E. B. Du Bois,5449
Baron Trump's Marvellous Underground Journey,Ingersoll Lockwood,5421
雲形紋章 (Japanese),John Meade Falkner,5415
Titan: A Romance. v. 1 (of 2),Jean Paul,5396
"The Bible, Douay-Rheims, Complete",Unknown,5382
The Old Curiosity Shop,Charles Dickens,5378
The Social Contract & Discourses,Jean-Jacques Rousseau,5374
"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",Maurice Leblanc,5364
Notre-Dame de Paris - Tome 1 (French),Victor Hugo,5354
A Complete Guide to Heraldry,Arthur Charles Fox-Davies,5333
Notre-Dame de Paris,Victor Hugo,5326
Gorgias,Plato,5316
The Man Who Was Thursday: A Nightmare,G. K. Chesterton,5312
"The Canterbury Tales, and Other Poems",Geoffrey Chaucer,5310
The Wind in the Willows,Kenneth Grahame,5307
"Poems, with The Ballad of Reading Gaol",Oscar Wilde,5305
The Divine Comedy of Dante Alighieri: The Inferno,Dante Alighieri,5300
Fifteen sonnets of Petrarch,Francesco Petrarca,5285
The Federalist Papers,"Alexander Hamilton, James Madison, and John Jay",5264
Twenty-Five Ghost Stories,Unknown,5263
Little Brother,Cory Doctorow,5252
Omens and Superstitions of Southern India,Edgar Thurston,5240
The Nature of Animal Light,E. Newton Harvey,5234
The Pursuit of God,A. W. Tozer,5200
王陽明全集 (Chinese),Yangming Wang,5191
Mrs. Dalloway,Virginia Woolf,5178
The Grand Inquisitor,Fyodor Dostoyevsky,5175
The Ballad of the White Horse,G. K. Chesterton,5171
The Raven,Edgar Allan Poe,5169
La Odisea (Spanish),Homer,5139
"The Younger Edda; Also called Snorre's Edda, or The Prose Edda",Snorri Sturluson,5125
R.U.R. (Rossum's Universal Robots),Karel Čapek,5123
"Bacon's Essays, and Wisdom of the Ancients",Francis Bacon,5123
Revelations of Divine Love,of Norwich Julian,5121
Mi Ultimo Adiós (Spanish),José Rizal,5120
Utopia,Saint Thomas More,5098
The Merry Adventures of Robin Hood,Howard Pyle,5090
On the Duties of the Clergy,Bishop of Milan Saint Ambrose,5090
American Notes,Charles Dickens,5087
"The Philippine Islands, 1493-1898 — Volume 07 of 55",Unknown,5068
"Ang ""Filibusterismo"" (Karugtóng ng Noli Me Tangere) (Tagalog)",José Rizal,5055
"The Spectator, Volumes 1, 2 and 3",Sir Richard Steele and Joseph Addison,5052
The Aeneid,Virgil,5048
Swann's Way,Marcel Proust,5040
The Anatomy of Melancholy,Robert Burton,5015
The Complete Herbal,Nicholas Culpeper,5010
A Treatise of Human Nature,David Hume,4999
Goethe's Theory of Colours,Johann Wolfgang von Goethe,4991
"Observations upon the Prophecies of Daniel, and the Apocalypse of St. John",Isaac Newton,4988
"Human, All Too Human: A Book for Free Spirits",Friedrich Wilhelm Nietzsche,4975
"The Letters of Franklin K. Lane, Personal and Political",Franklin K. Lane,4973
"Moby Dick; Or, The Whale",Herman Melville,4945
Little Dorrit,Charles Dickens,4936
A Princess of Mars,Edgar Rice Burroughs,4913
How We Think,John Dewey,4901
Riders to the Sea,J. M. Synge,4894
The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane,4892
In Praise of Folly,Desiderius Erasmus,4892
Black Beauty,Anna Sewell,4886
Le Morte d'Arthur: Volume 2,Sir Thomas Malory,4856
The Tenniel Illustrations for Carroll's Alice in Wonderland,John Tenniel,4839
"Le comte de Monte-Cristo, Tome I (French)",Alexandre Dumas and Auguste Maquet,4838
The Cask of Amontillado,Edgar Allan Poe,4817
Martin Chuzzlewit,Charles Dickens,4795
A History of the Philippines,David P. Barrows,4779
Democracy and Education: An Introduction to the Philosophy of Education,John Dewey,4776
Alice's Adventures in Wonderland,Lewis Carroll,4768
The Flowers of Evil,Charles Baudelaire,4750
Les trois mousquetaires (French),Alexandre Dumas and Auguste Maquet,4733
"The life and opinions of Tristram Shandy, gentleman",Laurence Sterne,4727
The Portrait of a Lady — Volume 1,Henry James,4715
New Latin Grammar,Charles E. Bennett,4714
Sir Gawayne and the Green Knight (Middle English (1100-1500)),Unknown,4708
"The Roll of Honour, Volume 1 :  A biographical record of all members of His Majesty's naval  and military forces who have fallen in the war",marquis de Melville Henry Massue Ruvigny et Raineval,4703
Scenes in the Life of Harriet Tubman,Sarah H. Bradford,4702
"Three Hundred Tang Poems, Volume 1 (Chinese)",Various,4700
The Woman in White,Wilkie Collins,4685
Apologia pro vita sua :  being a history of his religious opinions,John Henry Newman,4683
The Aesop for Children,Aesop,4669
The Masque of the Red Death,Edgar Allan Poe,4655
Some Jewish Witnesses For Christ,Aaron Bernstein,4653
The Satyricon — Complete,Petronius Arbiter,4650
The Essays of Arthur Schopenhauer; Studies in Pessimism,Arthur Schopenhauer,4621
Dao De Jing: A Minimalist Translation (Chinese),Laozi,4620
Eugene Oneguine [Onegin],Aleksandr Sergeevich Pushkin,4615
Dombey and Son,Charles Dickens,4614
二刻拍案惊奇 (Chinese),Mengchu Ling,4607
冷眼观 (Chinese),Junqing Wang,4597
"The Danish History, Books I-IX",Grammaticus Saxo,4596
"On Heroes, Hero-Worship, and the Heroic in History",Thomas Carlyle,4593
"The Works of Edgar Allan Poe, The Raven Edition",Edgar Allan Poe,4577
西遊記 (Chinese),Cheng'en Wu,4572
花月痕 (Chinese),Zi'an Wei,4557
Helps to Latin Translation at Sight,Edmund Luce,4548
Poems,Victor Hugo,4531
The Declaration of Independence of the United States of America,Thomas Jefferson,4520
Roughing It,Mark Twain,4503
Euthyphro,Plato,4496
North and South,Elizabeth Cleghorn Gaskell,4489
The Science of Getting Rich,W. D. Wattles,4461
A Little Princess,Frances Hodgson Burnett,4461
El paraíso perdido (Spanish),John Milton,4431
Kidnapped,Robert Louis Stevenson,4416
Politics: A Treatise on Government,Aristotle,4410
The Uncommercial Traveller,Charles Dickens,4395
Medea of Euripides,Euripides,4389
The Trial,Franz Kafka,4386
"Apology, Crito, and Phaedo of Socrates",Plato,4375
The Game of Rat and Dragon,Paul Myron Anthony Linebarger,4364
Webster's Unabridged Dictionary,Various,4360
"Modern English biography, volume 2 (of 4), I-Q",Frederic Boase,4360
The Gilded Age: A Tale of Today,Mark Twain and Charles Dudley Warner,4344
Plutarch: Lives of the noble Grecians and Romans,Plutarch,4335
The Pilgrim's Progress from this world to that which is to come,John Bunyan,4331
"Dio's Rome, Volume 1",Cassius Dio Cocceianus,4329
Tribute to Michael Hart (Arabic),Majid AlHydar,4328
